ID,Article,R1/R2,Overall outcome,Year,Researcher
1,Measuring the objectness of image windows,R1,Partial success,2012,OC
2,Generalized Correntropy for Robust Adaptive Filtering,R2,Partial success,2016,MM
3,Development and investigation of efficient artificial bee colony algorithm for numerical function optimization,R2,Partial success,2012,MM
4,Blind Image Quality Assessment,R1,Partial success,2012,OC
5,Cooperatively Coevolving particle swarm optimization for large scale optimization,R2,Partial success,2012,OC
6,Learning sparse representations for human action recognition,R2,Failure,2012,OC
7,Visualizing and understanding convolutional networks,R2,No Result,2014,OC
8,iSuc-PseOpt: Identifying lysine succinylation sites in proteins by incorporating sequence-coupling effects into pseudo components and optimizing imbalanced training dataset,R2,Partial success,2016,OC
9,A modified Artificial Bee Colony algorithm for real-parameter optimization,R2,Partial success,2012,NN
10,RASL: Robust alignment by sparse and low-rank decomposition for linearly correlated images,R1,Failure,2012,NN
11,Classification with noisy labels by importance reweighting,R2,Failure,2016,OC
12,Deep convolutional and LSTM recurrent neural networks for multimodal wearable activity recognition,R1,Partial success,2016,OC
13,Context Aware Saliency Detection,R2,Failure,2012,MM
14,Distributed representations of sentences and documents,R2,No Result,2014,MM
15,XGBoost: A scalable tree boosting system,R1,Failure,2016,MM
16,Facial landmark detection by deep multi-task learning,R2,No Result,2014,NN
17,Deep learning-based classification of hyperspectral data,R1,Failure,2014,NN
18,Semi-supervised and unsupervised extreme learning machines,R2,Failure,2014,NN
19,DeepReID: Deep Filter Pairing Neural Network for Person Re-Identification,R2,No Result,2014,NN
20,Deep neural networks: A promising tool for fault characteristic mining and intelligent diagnosis of rotating machinery with massive data,R2,No Result,2016,NN
21,Clustering by fast search and find of density peaks,R1,Success,2014,MM
22,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,R2,Failure,2014,MM
